,Date,Time,Aspect 0 of Phase H  State,Aspect 1 of Phase H  State,Aspect 2 of Phase H  State,Result,Phase
357,03-Jun-17,10:09:39,1,1,0,RedAmber,H
358,03-Jun-17,10:09:40,1,1,0,RedAmber,H
359,03-Jun-17,10:09:40,1,1,0,RedAmber,H
360,03-Jun-17,10:09:40,1,1,0,RedAmber,H
361,03-Jun-17,10:09:40,1,1,0,RedAmber,H
362,03-Jun-17,10:09:40,1,1,0,RedAmber,H
363,03-Jun-17,10:09:40,1,1,0,RedAmber,H
364,03-Jun-17,10:09:41,1,1,0,RedAmber,H
365,03-Jun-17,10:09:41,1,1,0,RedAmber,H
366,03-Jun-17,10:09:41,1,1,0,RedAmber,H
367,03-Jun-17,10:09:41,1,1,0,RedAmber,H
368,03-Jun-17,10:09:42,1,1,0,RedAmber,H
369,03-Jun-17,10:09:42,1,1,0,RedAmber,H
370,03-Jun-17,10:09:42,1,1,0,RedAmber,H
371,03-Jun-17,10:09:42,1,1,0,RedAmber,H
372,03-Jun-17,10:09:43,1,1,0,RedAmber,H
373,03-Jun-17,10:09:43,1,1,0,RedAmber,H
374,03-Jun-17,10:09:43,1,1,0,RedAmber,H
375,03-Jun-17,10:09:43,1,1,0,RedAmber,H
376,03-Jun-17,10:09:43,1,1,0,RedAmber,H
377,03-Jun-17,10:09:43,1,1,0,RedAmber,H
378,03-Jun-17,10:09:43,1,1,0,RedAmber,H
379,03-Jun-17,10:09:44,1,1,0,RedAmber,H
380,03-Jun-17,10:09:44,1,1,0,RedAmber,H
381,03-Jun-17,10:09:44,1,1,0,RedAmber,H
382,03-Jun-17,10:09:44,1,1,0,RedAmber,H
383,03-Jun-17,10:09:45,1,1,0,RedAmber,H
384,03-Jun-17,10:09:45,1,1,0,RedAmber,H
385,03-Jun-17,10:09:45,1,1,0,RedAmber,H
386,03-Jun-17,10:09:45,1,1,0,RedAmber,H
387,03-Jun-17,10:09:45,1,1,0,RedAmber,H
388,03-Jun-17,10:09:46,1,1,0,RedAmber,H
389,03-Jun-17,10:09:46,1,1,0,RedAmber,H
390,03-Jun-17,10:09:46,1,1,0,RedAmber,H
391,03-Jun-17,10:09:46,1,1,0,RedAmber,H
392,03-Jun-17,10:09:46,1,1,0,RedAmber,H
393,03-Jun-17,10:09:47,1,1,0,RedAmber,H
394,03-Jun-17,10:09:47,1,1,0,RedAmber,H
395,03-Jun-17,10:09:47,1,1,0,RedAmber,H
396,03-Jun-17,10:09:47,1,1,0,RedAmber,H
397,03-Jun-17,10:09:48,1,1,0,RedAmber,H
398,03-Jun-17,10:09:48,1,1,0,RedAmber,H
399,03-Jun-17,10:09:48,1,1,0,RedAmber,H
400,03-Jun-17,10:09:48,1,1,0,RedAmber,H
401,03-Jun-17,10:09:48,1,1,0,RedAmber,H
