,Date,Time,Aspect 0 of Phase C  State,Aspect 1 of Phase C  State,Aspect 2 of Phase C  State,Result,Phase
1941,03-Jun-17,10:14:57,0,0,1,Green,C
1942,03-Jun-17,10:14:57,0,0,1,Green,C
1943,03-Jun-17,10:14:57,0,0,1,Green,C
1944,03-Jun-17,10:14:57,0,0,1,Green,C
1945,03-Jun-17,10:14:57,0,0,1,Green,C
1946,03-Jun-17,10:14:57,0,0,1,Green,C
1947,03-Jun-17,10:14:58,0,0,1,Green,C
1948,03-Jun-17,10:14:58,0,0,1,Green,C
1949,03-Jun-17,10:14:58,0,0,1,Green,C
1950,03-Jun-17,10:14:58,0,0,1,Green,C
1951,03-Jun-17,10:14:58,0,0,1,Green,C
1952,03-Jun-17,10:14:59,0,0,1,Green,C
1953,03-Jun-17,10:14:59,0,0,1,Green,C
1954,03-Jun-17,10:14:59,0,0,1,Green,C
1955,03-Jun-17,10:14:59,0,0,1,Green,C
1956,03-Jun-17,10:15:00,0,0,1,Green,C
1957,03-Jun-17,10:15:00,0,0,1,Green,C
1958,03-Jun-17,10:15:00,0,0,1,Green,C
1959,03-Jun-17,10:15:00,0,0,1,Green,C
1960,03-Jun-17,10:15:00,0,0,1,Green,C
1961,03-Jun-17,10:15:00,0,0,1,Green,C
1962,03-Jun-17,10:15:01,0,0,1,Green,C
1963,03-Jun-17,10:15:01,0,0,1,Green,C
1964,03-Jun-17,10:15:01,0,0,1,Green,C
1965,03-Jun-17,10:15:01,0,0,1,Green,C
1966,03-Jun-17,10:15:01,0,0,1,Green,C
1967,03-Jun-17,10:15:01,0,0,1,Green,C
1968,03-Jun-17,10:15:02,0,0,1,Green,C
1969,03-Jun-17,10:15:02,0,0,1,Green,C
1970,03-Jun-17,10:15:02,0,0,1,Green,C
1971,03-Jun-17,10:15:02,0,0,1,Green,C
1972,03-Jun-17,10:15:02,0,0,1,Green,C
1973,03-Jun-17,10:15:03,0,0,1,Green,C
1974,03-Jun-17,10:15:03,0,0,1,Green,C
1975,03-Jun-17,10:15:03,0,0,1,Green,C
1976,03-Jun-17,10:15:03,0,0,1,Green,C
1977,03-Jun-17,10:15:03,0,0,1,Green,C
1978,03-Jun-17,10:15:03,0,0,1,Green,C
1979,03-Jun-17,10:15:04,0,0,1,Green,C
1980,03-Jun-17,10:15:04,0,0,1,Green,C
1981,03-Jun-17,10:15:04,0,0,1,Green,C
2237,03-Jun-17,10:15:56,0,0,1,Green,C
2238,03-Jun-17,10:15:56,0,0,1,Green,C
2239,03-Jun-17,10:15:56,0,0,1,Green,C
2240,03-Jun-17,10:15:56,0,0,1,Green,C
2241,03-Jun-17,10:15:56,0,0,1,Green,C
2242,03-Jun-17,10:15:56,0,0,1,Green,C
2243,03-Jun-17,10:15:57,0,0,1,Green,C
2244,03-Jun-17,10:15:57,0,0,1,Green,C
2245,03-Jun-17,10:15:57,0,0,1,Green,C
2246,03-Jun-17,10:15:57,0,0,1,Green,C
2247,03-Jun-17,10:15:58,0,0,1,Green,C
2248,03-Jun-17,10:15:58,0,0,1,Green,C
2249,03-Jun-17,10:15:58,0,0,1,Green,C
2250,03-Jun-17,10:15:58,0,0,1,Green,C
2251,03-Jun-17,10:15:58,0,0,1,Green,C
2252,03-Jun-17,10:15:59,0,0,1,Green,C
2253,03-Jun-17,10:15:59,0,0,1,Green,C
2254,03-Jun-17,10:15:59,0,0,1,Green,C
2255,03-Jun-17,10:15:59,0,0,1,Green,C
2256,03-Jun-17,10:16:00,0,0,1,Green,C
2257,03-Jun-17,10:16:00,0,0,1,Green,C
2258,03-Jun-17,10:16:00,0,0,1,Green,C
2259,03-Jun-17,10:16:00,0,0,1,Green,C
2260,03-Jun-17,10:16:00,0,0,1,Green,C
2261,03-Jun-17,10:16:00,0,0,1,Green,C
2262,03-Jun-17,10:16:00,0,0,1,Green,C
2263,03-Jun-17,10:16:00,0,0,1,Green,C
2264,03-Jun-17,10:16:01,0,0,1,Green,C
2265,03-Jun-17,10:16:01,0,0,1,Green,C
2266,03-Jun-17,10:16:01,0,0,1,Green,C
2267,03-Jun-17,10:16:01,0,0,1,Green,C
2268,03-Jun-17,10:16:01,0,0,1,Green,C
2269,03-Jun-17,10:16:02,0,0,1,Green,C
2270,03-Jun-17,10:16:02,0,0,1,Green,C
2271,03-Jun-17,10:16:02,0,0,1,Green,C
2272,03-Jun-17,10:16:02,0,0,1,Green,C
2273,03-Jun-17,10:16:03,0,0,1,Green,C
2274,03-Jun-17,10:16:03,0,0,1,Green,C
2275,03-Jun-17,10:16:03,0,0,1,Green,C
2276,03-Jun-17,10:16:03,0,0,1,Green,C
2277,03-Jun-17,10:16:03,0,0,1,Green,C
2278,03-Jun-17,10:16:04,0,0,1,Green,C
2279,03-Jun-17,10:16:04,0,0,1,Green,C
2280,03-Jun-17,10:16:04,0,0,1,Green,C
2281,03-Jun-17,10:16:04,0,0,1,Green,C
2537,03-Jun-17,10:16:55,0,0,1,Green,C
2538,03-Jun-17,10:16:56,0,0,1,Green,C
2539,03-Jun-17,10:16:56,0,0,1,Green,C
2540,03-Jun-17,10:16:56,0,0,1,Green,C
2541,03-Jun-17,10:16:56,0,0,1,Green,C
2542,03-Jun-17,10:16:56,0,0,1,Green,C
2543,03-Jun-17,10:16:57,0,0,1,Green,C
2544,03-Jun-17,10:16:57,0,0,1,Green,C
2545,03-Jun-17,10:16:57,0,0,1,Green,C
2546,03-Jun-17,10:16:57,0,0,1,Green,C
2547,03-Jun-17,10:16:58,0,0,1,Green,C
2548,03-Jun-17,10:16:58,0,0,1,Green,C
2549,03-Jun-17,10:16:58,0,0,1,Green,C
2550,03-Jun-17,10:16:58,0,0,1,Green,C
2551,03-Jun-17,10:16:58,0,0,1,Green,C
2552,03-Jun-17,10:16:58,0,0,1,Green,C
2553,03-Jun-17,10:16:58,0,0,1,Green,C
2554,03-Jun-17,10:16:59,0,0,1,Green,C
2555,03-Jun-17,10:16:59,0,0,1,Green,C
2556,03-Jun-17,10:16:59,0,0,1,Green,C
2557,03-Jun-17,10:16:59,0,0,1,Green,C
2558,03-Jun-17,10:17:00,0,0,1,Green,C
2559,03-Jun-17,10:17:00,0,0,1,Green,C
2560,03-Jun-17,10:17:00,0,0,1,Green,C
2561,03-Jun-17,10:17:00,0,0,1,Green,C
2562,03-Jun-17,10:17:00,0,0,1,Green,C
2563,03-Jun-17,10:17:01,0,0,1,Green,C
2564,03-Jun-17,10:17:01,0,0,1,Green,C
2565,03-Jun-17,10:17:01,0,0,1,Green,C
2566,03-Jun-17,10:17:01,0,0,1,Green,C
2567,03-Jun-17,10:17:02,0,0,1,Green,C
2568,03-Jun-17,10:17:02,0,0,1,Green,C
2569,03-Jun-17,10:17:02,0,0,1,Green,C
2570,03-Jun-17,10:17:02,0,0,1,Green,C
2571,03-Jun-17,10:17:02,0,0,1,Green,C
2572,03-Jun-17,10:17:02,0,0,1,Green,C
2573,03-Jun-17,10:17:02,0,0,1,Green,C
2574,03-Jun-17,10:17:03,0,0,1,Green,C
2575,03-Jun-17,10:17:03,0,0,1,Green,C
2576,03-Jun-17,10:17:03,0,0,1,Green,C
2577,03-Jun-17,10:17:03,0,0,1,Green,C
2578,03-Jun-17,10:17:04,0,0,1,Green,C
2579,03-Jun-17,10:17:04,0,0,1,Green,C
2580,03-Jun-17,10:17:04,0,0,1,Green,C
2581,03-Jun-17,10:17:04,0,0,1,Green,C
2837,03-Jun-17,10:17:55,0,0,1,Green,C
2838,03-Jun-17,10:17:56,0,0,1,Green,C
2839,03-Jun-17,10:17:56,0,0,1,Green,C
2840,03-Jun-17,10:17:56,0,0,1,Green,C
2841,03-Jun-17,10:17:56,0,0,1,Green,C
2842,03-Jun-17,10:17:56,0,0,1,Green,C
2843,03-Jun-17,10:17:57,0,0,1,Green,C
2844,03-Jun-17,10:17:57,0,0,1,Green,C
2845,03-Jun-17,10:17:57,0,0,1,Green,C
2846,03-Jun-17,10:17:57,0,0,1,Green,C
2847,03-Jun-17,10:17:58,0,0,1,Green,C
2848,03-Jun-17,10:17:58,0,0,1,Green,C
2849,03-Jun-17,10:17:58,0,0,1,Green,C
2850,03-Jun-17,10:17:58,0,0,1,Green,C
2851,03-Jun-17,10:17:58,0,0,1,Green,C
2852,03-Jun-17,10:17:58,0,0,1,Green,C
2853,03-Jun-17,10:17:59,0,0,1,Green,C
2854,03-Jun-17,10:17:59,0,0,1,Green,C
2855,03-Jun-17,10:17:59,0,0,1,Green,C
2856,03-Jun-17,10:17:59,0,0,1,Green,C
2857,03-Jun-17,10:18:00,0,0,1,Green,C
2858,03-Jun-17,10:18:00,0,0,1,Green,C
2859,03-Jun-17,10:18:00,0,0,1,Green,C
2860,03-Jun-17,10:18:00,0,0,1,Green,C
2861,03-Jun-17,10:18:00,0,0,1,Green,C
2862,03-Jun-17,10:18:01,0,0,1,Green,C
2863,03-Jun-17,10:18:01,0,0,1,Green,C
2864,03-Jun-17,10:18:01,0,0,1,Green,C
2865,03-Jun-17,10:18:01,0,0,1,Green,C
2866,03-Jun-17,10:18:01,0,0,1,Green,C
2867,03-Jun-17,10:18:01,0,0,1,Green,C
2868,03-Jun-17,10:18:01,0,0,1,Green,C
2869,03-Jun-17,10:18:02,0,0,1,Green,C
2870,03-Jun-17,10:18:02,0,0,1,Green,C
2871,03-Jun-17,10:18:02,0,0,1,Green,C
2872,03-Jun-17,10:18:02,0,0,1,Green,C
2873,03-Jun-17,10:18:03,0,0,1,Green,C
2874,03-Jun-17,10:18:03,0,0,1,Green,C
2875,03-Jun-17,10:18:03,0,0,1,Green,C
2876,03-Jun-17,10:18:03,0,0,1,Green,C
2877,03-Jun-17,10:18:03,0,0,1,Green,C
2878,03-Jun-17,10:18:04,0,0,1,Green,C
2879,03-Jun-17,10:18:04,0,0,1,Green,C
2880,03-Jun-17,10:18:04,0,0,1,Green,C
2881,03-Jun-17,10:18:04,0,0,1,Green,C
3137,03-Jun-17,10:18:56,0,0,1,Green,C
3138,03-Jun-17,10:18:56,0,0,1,Green,C
3139,03-Jun-17,10:18:56,0,0,1,Green,C
3140,03-Jun-17,10:18:56,0,0,1,Green,C
3141,03-Jun-17,10:18:56,0,0,1,Green,C
3142,03-Jun-17,10:18:56,0,0,1,Green,C
3143,03-Jun-17,10:18:57,0,0,1,Green,C
3144,03-Jun-17,10:18:57,0,0,1,Green,C
3145,03-Jun-17,10:18:57,0,0,1,Green,C
3146,03-Jun-17,10:18:57,0,0,1,Green,C
3147,03-Jun-17,10:18:57,0,0,1,Green,C
3148,03-Jun-17,10:18:58,0,0,1,Green,C
3149,03-Jun-17,10:18:58,0,0,1,Green,C
3150,03-Jun-17,10:18:58,0,0,1,Green,C
3151,03-Jun-17,10:18:58,0,0,1,Green,C
3152,03-Jun-17,10:18:59,0,0,1,Green,C
3153,03-Jun-17,10:18:59,0,0,1,Green,C
3154,03-Jun-17,10:18:59,0,0,1,Green,C
3155,03-Jun-17,10:18:59,0,0,1,Green,C
3156,03-Jun-17,10:18:59,0,0,1,Green,C
3157,03-Jun-17,10:19:00,0,0,1,Green,C
3158,03-Jun-17,10:19:00,0,0,1,Green,C
3159,03-Jun-17,10:19:00,0,0,1,Green,C
3160,03-Jun-17,10:19:00,0,0,1,Green,C
3161,03-Jun-17,10:19:00,0,0,1,Green,C
3162,03-Jun-17,10:19:00,0,0,1,Green,C
3163,03-Jun-17,10:19:00,0,0,1,Green,C
3164,03-Jun-17,10:19:01,0,0,1,Green,C
3165,03-Jun-17,10:19:01,0,0,1,Green,C
3166,03-Jun-17,10:19:01,0,0,1,Green,C
3167,03-Jun-17,10:19:01,0,0,1,Green,C
3168,03-Jun-17,10:19:01,0,0,1,Green,C
3169,03-Jun-17,10:19:02,0,0,1,Green,C
3170,03-Jun-17,10:19:02,0,0,1,Green,C
3171,03-Jun-17,10:19:02,0,0,1,Green,C
3172,03-Jun-17,10:19:02,0,0,1,Green,C
3173,03-Jun-17,10:19:03,0,0,1,Green,C
3174,03-Jun-17,10:19:03,0,0,1,Green,C
3175,03-Jun-17,10:19:03,0,0,1,Green,C
3176,03-Jun-17,10:19:03,0,0,1,Green,C
3177,03-Jun-17,10:19:03,0,0,1,Green,C
3178,03-Jun-17,10:19:04,0,0,1,Green,C
3179,03-Jun-17,10:19:04,0,0,1,Green,C
3180,03-Jun-17,10:19:04,0,0,1,Green,C
3181,03-Jun-17,10:19:04,0,0,1,Green,C
3437,03-Jun-17,10:19:56,0,0,1,Green,C
3438,03-Jun-17,10:19:56,0,0,1,Green,C
3439,03-Jun-17,10:19:56,0,0,1,Green,C
3440,03-Jun-17,10:19:56,0,0,1,Green,C
3441,03-Jun-17,10:19:56,0,0,1,Green,C
3442,03-Jun-17,10:19:56,0,0,1,Green,C
3443,03-Jun-17,10:19:56,0,0,1,Green,C
3444,03-Jun-17,10:19:57,0,0,1,Green,C
3445,03-Jun-17,10:19:57,0,0,1,Green,C
3446,03-Jun-17,10:19:57,0,0,1,Green,C
3447,03-Jun-17,10:19:57,0,0,1,Green,C
3448,03-Jun-17,10:19:58,0,0,1,Green,C
3449,03-Jun-17,10:19:58,0,0,1,Green,C
3450,03-Jun-17,10:19:58,0,0,1,Green,C
3451,03-Jun-17,10:19:58,0,0,1,Green,C
3452,03-Jun-17,10:19:58,0,0,1,Green,C
3453,03-Jun-17,10:19:59,0,0,1,Green,C
3454,03-Jun-17,10:19:59,0,0,1,Green,C
3455,03-Jun-17,10:19:59,0,0,1,Green,C
3456,03-Jun-17,10:19:59,0,0,1,Green,C
3457,03-Jun-17,10:20:00,0,0,1,Green,C
3458,03-Jun-17,10:20:00,0,0,1,Green,C
3459,03-Jun-17,10:20:00,0,0,1,Green,C
3460,03-Jun-17,10:20:00,0,0,1,Green,C
3461,03-Jun-17,10:20:00,0,0,1,Green,C
3462,03-Jun-17,10:20:00,0,0,1,Green,C
3463,03-Jun-17,10:20:00,0,0,1,Green,C
3464,03-Jun-17,10:20:01,0,0,1,Green,C
3465,03-Jun-17,10:20:01,0,0,1,Green,C
3466,03-Jun-17,10:20:01,0,0,1,Green,C
3467,03-Jun-17,10:20:01,0,0,1,Green,C
3468,03-Jun-17,10:20:02,0,0,1,Green,C
3469,03-Jun-17,10:20:02,0,0,1,Green,C
3470,03-Jun-17,10:20:02,0,0,1,Green,C
3471,03-Jun-17,10:20:02,0,0,1,Green,C
3472,03-Jun-17,10:20:02,0,0,1,Green,C
3473,03-Jun-17,10:20:03,0,0,1,Green,C
3474,03-Jun-17,10:20:03,0,0,1,Green,C
3475,03-Jun-17,10:20:03,0,0,1,Green,C
3476,03-Jun-17,10:20:03,0,0,1,Green,C
3477,03-Jun-17,10:20:04,0,0,1,Green,C
3478,03-Jun-17,10:20:04,0,0,1,Green,C
3479,03-Jun-17,10:20:04,0,0,1,Green,C
3480,03-Jun-17,10:20:04,0,0,1,Green,C
