,Date,Time,Aspect 0 of Phase B  State,Aspect 1 of Phase B  State,Aspect 2 of Phase B  State,Result,Phase
5214,03-Jun-17,10:25:51,0,1,0,Amber,B
5215,03-Jun-17,10:25:51,0,1,0,Amber,B
5216,03-Jun-17,10:25:51,0,1,0,Amber,B
5217,03-Jun-17,10:25:51,0,1,0,Amber,B
5218,03-Jun-17,10:25:52,0,1,0,Amber,B
5219,03-Jun-17,10:25:52,0,1,0,Amber,B
5220,03-Jun-17,10:25:52,0,1,0,Amber,B
5221,03-Jun-17,10:25:52,0,1,0,Amber,B
5222,03-Jun-17,10:25:52,0,1,0,Amber,B
5223,03-Jun-17,10:25:53,0,1,0,Amber,B
5224,03-Jun-17,10:25:53,0,1,0,Amber,B
5225,03-Jun-17,10:25:53,0,1,0,Amber,B
5226,03-Jun-17,10:25:53,0,1,0,Amber,B
5512,03-Jun-17,10:26:50,0,1,0,Amber,B
5513,03-Jun-17,10:26:51,0,1,0,Amber,B
5514,03-Jun-17,10:26:51,0,1,0,Amber,B
5515,03-Jun-17,10:26:51,0,1,0,Amber,B
5516,03-Jun-17,10:26:51,0,1,0,Amber,B
5517,03-Jun-17,10:26:52,0,1,0,Amber,B
5518,03-Jun-17,10:26:52,0,1,0,Amber,B
5519,03-Jun-17,10:26:52,0,1,0,Amber,B
5520,03-Jun-17,10:26:52,0,1,0,Amber,B
5521,03-Jun-17,10:26:52,0,1,0,Amber,B
5522,03-Jun-17,10:26:52,0,1,0,Amber,B
5523,03-Jun-17,10:26:52,0,1,0,Amber,B
5524,03-Jun-17,10:26:53,0,1,0,Amber,B
5525,03-Jun-17,10:26:53,0,1,0,Amber,B
5526,03-Jun-17,10:26:53,0,1,0,Amber,B
5812,03-Jun-17,10:27:50,0,1,0,Amber,B
5813,03-Jun-17,10:27:51,0,1,0,Amber,B
5814,03-Jun-17,10:27:51,0,1,0,Amber,B
5815,03-Jun-17,10:27:51,0,1,0,Amber,B
5816,03-Jun-17,10:27:51,0,1,0,Amber,B
5817,03-Jun-17,10:27:52,0,1,0,Amber,B
5818,03-Jun-17,10:27:52,0,1,0,Amber,B
5819,03-Jun-17,10:27:52,0,1,0,Amber,B
5820,03-Jun-17,10:27:52,0,1,0,Amber,B
5821,03-Jun-17,10:27:52,0,1,0,Amber,B
5822,03-Jun-17,10:27:52,0,1,0,Amber,B
5823,03-Jun-17,10:27:52,0,1,0,Amber,B
5824,03-Jun-17,10:27:53,0,1,0,Amber,B
5825,03-Jun-17,10:27:53,0,1,0,Amber,B
5826,03-Jun-17,10:27:53,0,1,0,Amber,B
6112,03-Jun-17,10:28:50,0,1,0,Amber,B
6113,03-Jun-17,10:28:50,0,1,0,Amber,B
6114,03-Jun-17,10:28:52,0,1,0,Amber,B
6115,03-Jun-17,10:28:52,0,1,0,Amber,B
6116,03-Jun-17,10:28:52,0,1,0,Amber,B
6117,03-Jun-17,10:28:52,0,1,0,Amber,B
6118,03-Jun-17,10:28:52,0,1,0,Amber,B
6119,03-Jun-17,10:28:52,0,1,0,Amber,B
6120,03-Jun-17,10:28:52,0,1,0,Amber,B
6121,03-Jun-17,10:28:52,0,1,0,Amber,B
6122,03-Jun-17,10:28:52,0,1,0,Amber,B
6123,03-Jun-17,10:28:52,0,1,0,Amber,B
6124,03-Jun-17,10:28:53,0,1,0,Amber,B
6125,03-Jun-17,10:28:53,0,1,0,Amber,B
6126,03-Jun-17,10:28:53,0,1,0,Amber,B
6412,03-Jun-17,10:29:51,0,1,0,Amber,B
6413,03-Jun-17,10:29:51,0,1,0,Amber,B
6414,03-Jun-17,10:29:51,0,1,0,Amber,B
6415,03-Jun-17,10:29:51,0,1,0,Amber,B
6416,03-Jun-17,10:29:51,0,1,0,Amber,B
6417,03-Jun-17,10:29:51,0,1,0,Amber,B
6418,03-Jun-17,10:29:52,0,1,0,Amber,B
6419,03-Jun-17,10:29:52,0,1,0,Amber,B
6420,03-Jun-17,10:29:52,0,1,0,Amber,B
6421,03-Jun-17,10:29:52,0,1,0,Amber,B
6422,03-Jun-17,10:29:53,0,1,0,Amber,B
6423,03-Jun-17,10:29:53,0,1,0,Amber,B
6424,03-Jun-17,10:29:53,0,1,0,Amber,B
6425,03-Jun-17,10:29:53,0,1,0,Amber,B
6426,03-Jun-17,10:29:53,0,1,0,Amber,B
6712,03-Jun-17,10:30:50,0,1,0,Amber,B
6713,03-Jun-17,10:30:51,0,1,0,Amber,B
6714,03-Jun-17,10:30:51,0,1,0,Amber,B
6715,03-Jun-17,10:30:51,0,1,0,Amber,B
6716,03-Jun-17,10:30:51,0,1,0,Amber,B
6717,03-Jun-17,10:30:51,0,1,0,Amber,B
6718,03-Jun-17,10:30:52,0,1,0,Amber,B
6719,03-Jun-17,10:30:52,0,1,0,Amber,B
6720,03-Jun-17,10:30:52,0,1,0,Amber,B
6721,03-Jun-17,10:30:52,0,1,0,Amber,B
6722,03-Jun-17,10:30:53,0,1,0,Amber,B
6723,03-Jun-17,10:30:53,0,1,0,Amber,B
6724,03-Jun-17,10:30:53,0,1,0,Amber,B
6725,03-Jun-17,10:30:53,0,1,0,Amber,B
6726,03-Jun-17,10:30:53,0,1,0,Amber,B
7012,03-Jun-17,10:31:50,0,1,0,Amber,B
7013,03-Jun-17,10:31:50,0,1,0,Amber,B
7014,03-Jun-17,10:31:51,0,1,0,Amber,B
7015,03-Jun-17,10:31:51,0,1,0,Amber,B
7016,03-Jun-17,10:31:51,0,1,0,Amber,B
7017,03-Jun-17,10:31:51,0,1,0,Amber,B
7018,03-Jun-17,10:31:52,0,1,0,Amber,B
7019,03-Jun-17,10:31:52,0,1,0,Amber,B
7020,03-Jun-17,10:31:52,0,1,0,Amber,B
7021,03-Jun-17,10:31:52,0,1,0,Amber,B
