,Date,Time,Aspect 0 of Phase I  State,Aspect 1 of Phase I  State,Aspect 2 of Phase I  State,Result,Phase
709,03-Jun-17,10:10:50,1,0,0,Red,I
710,03-Jun-17,10:10:50,1,0,0,Red,I
711,03-Jun-17,10:10:50,1,0,0,Red,I
712,03-Jun-17,10:10:50,1,0,0,Red,I
713,03-Jun-17,10:10:51,1,0,0,Red,I
714,03-Jun-17,10:10:51,1,0,0,Red,I
715,03-Jun-17,10:10:51,1,0,0,Red,I
716,03-Jun-17,10:10:51,1,0,0,Red,I
717,03-Jun-17,10:10:52,1,0,0,Red,I
718,03-Jun-17,10:10:52,1,0,0,Red,I
719,03-Jun-17,10:10:52,1,0,0,Red,I
720,03-Jun-17,10:10:52,1,0,0,Red,I
721,03-Jun-17,10:10:52,1,0,0,Red,I
722,03-Jun-17,10:10:52,1,0,0,Red,I
723,03-Jun-17,10:10:52,1,0,0,Red,I
724,03-Jun-17,10:10:53,1,0,0,Red,I
725,03-Jun-17,10:10:53,1,0,0,Red,I
726,03-Jun-17,10:10:53,1,0,0,Red,I
727,03-Jun-17,10:10:53,1,0,0,Red,I
728,03-Jun-17,10:10:54,1,0,0,Red,I
729,03-Jun-17,10:10:54,1,0,0,Red,I
730,03-Jun-17,10:10:54,1,0,0,Red,I
731,03-Jun-17,10:10:54,1,0,0,Red,I
732,03-Jun-17,10:10:54,1,0,0,Red,I
733,03-Jun-17,10:10:55,1,0,0,Red,I
734,03-Jun-17,10:10:55,1,0,0,Red,I
735,03-Jun-17,10:10:55,1,0,0,Red,I
736,03-Jun-17,10:10:55,1,0,0,Red,I
737,03-Jun-17,10:10:56,1,0,0,Red,I
738,03-Jun-17,10:10:56,1,0,0,Red,I
739,03-Jun-17,10:10:56,1,0,0,Red,I
740,03-Jun-17,10:10:56,1,0,0,Red,I
741,03-Jun-17,10:10:56,1,0,0,Red,I
742,03-Jun-17,10:10:57,1,0,0,Red,I
743,03-Jun-17,10:10:57,1,0,0,Red,I
744,03-Jun-17,10:10:57,1,0,0,Red,I
745,03-Jun-17,10:10:57,1,0,0,Red,I
746,03-Jun-17,10:10:57,1,0,0,Red,I
747,03-Jun-17,10:10:57,1,0,0,Red,I
748,03-Jun-17,10:10:57,1,0,0,Red,I
749,03-Jun-17,10:10:58,1,0,0,Red,I
750,03-Jun-17,10:10:58,1,0,0,Red,I
751,03-Jun-17,10:10:58,1,0,0,Red,I
752,03-Jun-17,10:10:58,1,0,0,Red,I
753,03-Jun-17,10:10:59,1,0,0,Red,I
754,03-Jun-17,10:10:59,1,0,0,Red,I
755,03-Jun-17,10:10:59,1,0,0,Red,I
756,03-Jun-17,10:10:59,1,0,0,Red,I
757,03-Jun-17,10:11:00,1,0,0,Red,I
758,03-Jun-17,10:11:00,1,0,0,Red,I
759,03-Jun-17,10:11:00,1,0,0,Red,I
760,03-Jun-17,10:11:00,1,0,0,Red,I
761,03-Jun-17,10:11:00,1,0,0,Red,I
762,03-Jun-17,10:11:00,1,0,0,Red,I
763,03-Jun-17,10:11:00,1,0,0,Red,I
764,03-Jun-17,10:11:01,1,0,0,Red,I
765,03-Jun-17,10:11:01,1,0,0,Red,I
766,03-Jun-17,10:11:01,1,0,0,Red,I
767,03-Jun-17,10:11:01,1,0,0,Red,I
768,03-Jun-17,10:11:02,1,0,0,Red,I
769,03-Jun-17,10:11:02,1,0,0,Red,I
770,03-Jun-17,10:11:02,1,0,0,Red,I
771,03-Jun-17,10:11:02,1,0,0,Red,I
772,03-Jun-17,10:11:03,1,0,0,Red,I
773,03-Jun-17,10:11:03,1,0,0,Red,I
774,03-Jun-17,10:11:03,1,0,0,Red,I
775,03-Jun-17,10:11:03,1,0,0,Red,I
776,03-Jun-17,10:11:03,1,0,0,Red,I
777,03-Jun-17,10:11:03,1,0,0,Red,I
778,03-Jun-17,10:11:03,1,0,0,Red,I
779,03-Jun-17,10:11:04,1,0,0,Red,I
780,03-Jun-17,10:11:04,1,0,0,Red,I
781,03-Jun-17,10:11:04,1,0,0,Red,I
782,03-Jun-17,10:11:04,1,0,0,Red,I
783,03-Jun-17,10:11:05,1,0,0,Red,I
784,03-Jun-17,10:11:05,1,0,0,Red,I
785,03-Jun-17,10:11:05,1,0,0,Red,I
