,Date,Time,Aspect 0 of Phase D  State,Aspect 1 of Phase D  State,Aspect 2 of Phase D  State,Result,Phase
5887,03-Jun-17,10:28:05,0,1,0,Amber,D
5888,03-Jun-17,10:28:05,0,1,0,Amber,D
5889,03-Jun-17,10:28:06,0,1,0,Amber,D
5890,03-Jun-17,10:28:06,0,1,0,Amber,D
5891,03-Jun-17,10:28:06,0,1,0,Amber,D
5892,03-Jun-17,10:28:06,0,1,0,Amber,D
5893,03-Jun-17,10:28:07,0,1,0,Amber,D
5894,03-Jun-17,10:28:07,0,1,0,Amber,D
5895,03-Jun-17,10:28:07,0,1,0,Amber,D
5896,03-Jun-17,10:28:07,0,1,0,Amber,D
6182,03-Jun-17,10:29:04,0,1,0,Amber,D
6183,03-Jun-17,10:29:04,0,1,0,Amber,D
6184,03-Jun-17,10:29:05,0,1,0,Amber,D
6185,03-Jun-17,10:29:05,0,1,0,Amber,D
6186,03-Jun-17,10:29:05,0,1,0,Amber,D
6187,03-Jun-17,10:29:05,0,1,0,Amber,D
6188,03-Jun-17,10:29:06,0,1,0,Amber,D
6189,03-Jun-17,10:29:06,0,1,0,Amber,D
6190,03-Jun-17,10:29:06,0,1,0,Amber,D
6191,03-Jun-17,10:29:06,0,1,0,Amber,D
6192,03-Jun-17,10:29:06,0,1,0,Amber,D
6193,03-Jun-17,10:29:07,0,1,0,Amber,D
6194,03-Jun-17,10:29:07,0,1,0,Amber,D
6195,03-Jun-17,10:29:07,0,1,0,Amber,D
6196,03-Jun-17,10:29:07,0,1,0,Amber,D
6482,03-Jun-17,10:30:04,0,1,0,Amber,D
6483,03-Jun-17,10:30:05,0,1,0,Amber,D
6484,03-Jun-17,10:30:05,0,1,0,Amber,D
6485,03-Jun-17,10:30:05,0,1,0,Amber,D
6486,03-Jun-17,10:30:05,0,1,0,Amber,D
6487,03-Jun-17,10:30:06,0,1,0,Amber,D
6488,03-Jun-17,10:30:06,0,1,0,Amber,D
6489,03-Jun-17,10:30:06,0,1,0,Amber,D
6490,03-Jun-17,10:30:06,0,1,0,Amber,D
6491,03-Jun-17,10:30:06,0,1,0,Amber,D
6492,03-Jun-17,10:30:06,0,1,0,Amber,D
6493,03-Jun-17,10:30:06,0,1,0,Amber,D
6494,03-Jun-17,10:30:07,0,1,0,Amber,D
6495,03-Jun-17,10:30:07,0,1,0,Amber,D
6496,03-Jun-17,10:30:07,0,1,0,Amber,D
6782,03-Jun-17,10:31:05,0,1,0,Amber,D
6783,03-Jun-17,10:31:05,0,1,0,Amber,D
6784,03-Jun-17,10:31:05,0,1,0,Amber,D
6785,03-Jun-17,10:31:05,0,1,0,Amber,D
6786,03-Jun-17,10:31:05,0,1,0,Amber,D
6787,03-Jun-17,10:31:05,0,1,0,Amber,D
6788,03-Jun-17,10:31:05,0,1,0,Amber,D
6789,03-Jun-17,10:31:06,0,1,0,Amber,D
6790,03-Jun-17,10:31:06,0,1,0,Amber,D
6791,03-Jun-17,10:31:06,0,1,0,Amber,D
6792,03-Jun-17,10:31:06,0,1,0,Amber,D
6793,03-Jun-17,10:31:07,0,1,0,Amber,D
6794,03-Jun-17,10:31:07,0,1,0,Amber,D
6795,03-Jun-17,10:31:07,0,1,0,Amber,D
6796,03-Jun-17,10:31:07,0,1,0,Amber,D
7082,03-Jun-17,10:32:05,0,1,0,Amber,D
7083,03-Jun-17,10:32:05,0,1,0,Amber,D
7084,03-Jun-17,10:32:05,0,1,0,Amber,D
7085,03-Jun-17,10:32:05,0,1,0,Amber,D
7086,03-Jun-17,10:32:06,0,1,0,Amber,D
7087,03-Jun-17,10:32:06,0,1,0,Amber,D
7088,03-Jun-17,10:32:06,0,1,0,Amber,D
7089,03-Jun-17,10:32:06,0,1,0,Amber,D
7090,03-Jun-17,10:32:06,0,1,0,Amber,D
7091,03-Jun-17,10:32:06,0,1,0,Amber,D
7092,03-Jun-17,10:32:06,0,1,0,Amber,D
7093,03-Jun-17,10:32:06,0,1,0,Amber,D
7094,03-Jun-17,10:32:07,0,1,0,Amber,D
7095,03-Jun-17,10:32:07,0,1,0,Amber,D
7096,03-Jun-17,10:32:07,0,1,0,Amber,D
7382,03-Jun-17,10:33:04,0,1,0,Amber,D
7383,03-Jun-17,10:33:04,0,1,0,Amber,D
7384,03-Jun-17,10:33:05,0,1,0,Amber,D
7385,03-Jun-17,10:33:05,0,1,0,Amber,D
7386,03-Jun-17,10:33:05,0,1,0,Amber,D
7387,03-Jun-17,10:33:05,0,1,0,Amber,D
7388,03-Jun-17,10:33:06,0,1,0,Amber,D
7389,03-Jun-17,10:33:06,0,1,0,Amber,D
7390,03-Jun-17,10:33:06,0,1,0,Amber,D
7391,03-Jun-17,10:33:06,0,1,0,Amber,D
7392,03-Jun-17,10:33:06,0,1,0,Amber,D
7393,03-Jun-17,10:33:07,0,1,0,Amber,D
7394,03-Jun-17,10:33:07,0,1,0,Amber,D
7395,03-Jun-17,10:33:07,0,1,0,Amber,D
7396,03-Jun-17,10:33:07,0,1,0,Amber,D
7682,03-Jun-17,10:34:04,0,1,0,Amber,D
7683,03-Jun-17,10:34:05,0,1,0,Amber,D
7684,03-Jun-17,10:34:05,0,1,0,Amber,D
7685,03-Jun-17,10:34:05,0,1,0,Amber,D
7686,03-Jun-17,10:34:05,0,1,0,Amber,D
7687,03-Jun-17,10:34:05,0,1,0,Amber,D
7688,03-Jun-17,10:34:06,0,1,0,Amber,D
7689,03-Jun-17,10:34:06,0,1,0,Amber,D
7690,03-Jun-17,10:34:06,0,1,0,Amber,D
7691,03-Jun-17,10:34:06,0,1,0,Amber,D
7692,03-Jun-17,10:34:07,0,1,0,Amber,D
7693,03-Jun-17,10:34:07,0,1,0,Amber,D
7694,03-Jun-17,10:34:07,0,1,0,Amber,D
7695,03-Jun-17,10:34:07,0,1,0,Amber,D
7696,03-Jun-17,10:34:07,0,1,0,Amber,D
7982,03-Jun-17,10:35:05,0,1,0,Amber,D
7983,03-Jun-17,10:35:05,0,1,0,Amber,D
7984,03-Jun-17,10:35:05,0,1,0,Amber,D
7985,03-Jun-17,10:35:05,0,1,0,Amber,D
7986,03-Jun-17,10:35:05,0,1,0,Amber,D
7987,03-Jun-17,10:35:06,0,1,0,Amber,D
7988,03-Jun-17,10:35:06,0,1,0,Amber,D
7989,03-Jun-17,10:35:06,0,1,0,Amber,D
7990,03-Jun-17,10:35:06,0,1,0,Amber,D
7991,03-Jun-17,10:35:06,0,1,0,Amber,D
7992,03-Jun-17,10:35:06,0,1,0,Amber,D
7993,03-Jun-17,10:35:06,0,1,0,Amber,D
7994,03-Jun-17,10:35:07,0,1,0,Amber,D
7995,03-Jun-17,10:35:07,0,1,0,Amber,D
7996,03-Jun-17,10:35:07,0,1,0,Amber,D
8282,03-Jun-17,10:36:05,0,1,0,Amber,D
8283,03-Jun-17,10:36:05,0,1,0,Amber,D
8284,03-Jun-17,10:36:05,0,1,0,Amber,D
8285,03-Jun-17,10:36:05,0,1,0,Amber,D
8286,03-Jun-17,10:36:05,0,1,0,Amber,D
8287,03-Jun-17,10:36:05,0,1,0,Amber,D
8288,03-Jun-17,10:36:05,0,1,0,Amber,D
8289,03-Jun-17,10:36:06,0,1,0,Amber,D
8290,03-Jun-17,10:36:06,0,1,0,Amber,D
8291,03-Jun-17,10:36:06,0,1,0,Amber,D
8292,03-Jun-17,10:36:06,0,1,0,Amber,D
8293,03-Jun-17,10:36:07,0,1,0,Amber,D
8294,03-Jun-17,10:36:07,0,1,0,Amber,D
8295,03-Jun-17,10:36:07,0,1,0,Amber,D
8296,03-Jun-17,10:36:07,0,1,0,Amber,D
8582,03-Jun-17,10:37:04,0,1,0,Amber,D
8583,03-Jun-17,10:37:05,0,1,0,Amber,D
8584,03-Jun-17,10:37:05,0,1,0,Amber,D
8585,03-Jun-17,10:37:05,0,1,0,Amber,D
8586,03-Jun-17,10:37:05,0,1,0,Amber,D
8587,03-Jun-17,10:37:05,0,1,0,Amber,D
8588,03-Jun-17,10:37:06,0,1,0,Amber,D
8589,03-Jun-17,10:37:06,0,1,0,Amber,D
