,Date,Time,Aspect 0 of Phase C  State,Aspect 1 of Phase C  State,Aspect 2 of Phase C  State,Result,Phase
7032,24-Jun-17,17:18:03,1,1,0,RedAmber,C
7033,24-Jun-17,17:18:03,1,1,0,RedAmber,C
7034,24-Jun-17,17:18:03,1,1,0,RedAmber,C
7035,24-Jun-17,17:18:03,1,1,0,RedAmber,C
7036,24-Jun-17,17:18:03,1,1,0,RedAmber,C
7327,24-Jun-17,17:18:03,1,1,0,RedAmber,C
7328,24-Jun-17,17:18:03,1,1,0,RedAmber,C
7329,24-Jun-17,17:18:03,1,1,0,RedAmber,C
7330,24-Jun-17,17:18:03,1,1,0,RedAmber,C
7331,24-Jun-17,17:18:03,1,1,0,RedAmber,C
7332,24-Jun-17,17:18:03,1,1,0,RedAmber,C
7333,24-Jun-17,17:18:03,1,1,0,RedAmber,C
7334,24-Jun-17,17:18:03,1,1,0,RedAmber,C
7335,24-Jun-17,17:18:03,1,1,0,RedAmber,C
7336,24-Jun-17,17:18:03,1,1,0,RedAmber,C
7627,24-Jun-17,17:18:03,1,1,0,RedAmber,C
7628,24-Jun-17,17:18:03,1,1,0,RedAmber,C
7629,24-Jun-17,17:18:03,1,1,0,RedAmber,C
7630,24-Jun-17,17:18:03,1,1,0,RedAmber,C
7631,24-Jun-17,17:18:03,1,1,0,RedAmber,C
7632,24-Jun-17,17:18:03,1,1,0,RedAmber,C
7633,24-Jun-17,17:18:03,1,1,0,RedAmber,C
7634,24-Jun-17,17:18:03,1,1,0,RedAmber,C
7635,24-Jun-17,17:18:03,1,1,0,RedAmber,C
7636,24-Jun-17,17:18:03,1,1,0,RedAmber,C
7927,24-Jun-17,17:18:03,1,1,0,RedAmber,C
7928,24-Jun-17,17:18:03,1,1,0,RedAmber,C
7929,24-Jun-17,17:18:03,1,1,0,RedAmber,C
7930,24-Jun-17,17:18:03,1,1,0,RedAmber,C
7931,24-Jun-17,17:18:03,1,1,0,RedAmber,C
7932,24-Jun-17,17:18:03,1,1,0,RedAmber,C
7933,24-Jun-17,17:18:03,1,1,0,RedAmber,C
7934,24-Jun-17,17:18:03,1,1,0,RedAmber,C
7935,24-Jun-17,17:18:03,1,1,0,RedAmber,C
7936,24-Jun-17,17:18:03,1,1,0,RedAmber,C
8227,24-Jun-17,17:18:04,1,1,0,RedAmber,C
8228,24-Jun-17,17:18:04,1,1,0,RedAmber,C
8229,24-Jun-17,17:18:04,1,1,0,RedAmber,C
8230,24-Jun-17,17:18:04,1,1,0,RedAmber,C
8231,24-Jun-17,17:18:04,1,1,0,RedAmber,C
8232,24-Jun-17,17:18:04,1,1,0,RedAmber,C
8233,24-Jun-17,17:18:04,1,1,0,RedAmber,C
8234,24-Jun-17,17:18:04,1,1,0,RedAmber,C
8235,24-Jun-17,17:18:04,1,1,0,RedAmber,C
8236,24-Jun-17,17:18:04,1,1,0,RedAmber,C
8527,24-Jun-17,17:18:04,1,1,0,RedAmber,C
8528,24-Jun-17,17:18:04,1,1,0,RedAmber,C
8529,24-Jun-17,17:18:04,1,1,0,RedAmber,C
8530,24-Jun-17,17:18:04,1,1,0,RedAmber,C
8531,24-Jun-17,17:18:04,1,1,0,RedAmber,C
8532,24-Jun-17,17:18:04,1,1,0,RedAmber,C
8533,24-Jun-17,17:18:04,1,1,0,RedAmber,C
8534,24-Jun-17,17:18:04,1,1,0,RedAmber,C
8535,24-Jun-17,17:18:04,1,1,0,RedAmber,C
8536,24-Jun-17,17:18:04,1,1,0,RedAmber,C
8827,24-Jun-17,17:18:58,1,1,0,RedAmber,C
8828,24-Jun-17,17:18:59,1,1,0,RedAmber,C
8829,24-Jun-17,17:18:59,1,1,0,RedAmber,C
8830,24-Jun-17,17:18:59,1,1,0,RedAmber,C
8831,24-Jun-17,17:18:59,1,1,0,RedAmber,C
8832,24-Jun-17,17:18:59,1,1,0,RedAmber,C
8833,24-Jun-17,17:18:59,1,1,0,RedAmber,C
8834,24-Jun-17,17:19:00,1,1,0,RedAmber,C
8835,24-Jun-17,17:19:00,1,1,0,RedAmber,C
8836,24-Jun-17,17:19:00,1,1,0,RedAmber,C
9127,24-Jun-17,17:19:58,1,1,0,RedAmber,C
9128,24-Jun-17,17:19:58,1,1,0,RedAmber,C
9129,24-Jun-17,17:19:59,1,1,0,RedAmber,C
9130,24-Jun-17,17:19:59,1,1,0,RedAmber,C
9131,24-Jun-17,17:19:59,1,1,0,RedAmber,C
9132,24-Jun-17,17:19:59,1,1,0,RedAmber,C
9133,24-Jun-17,17:19:59,1,1,0,RedAmber,C
9134,24-Jun-17,17:20:00,1,1,0,RedAmber,C
9135,24-Jun-17,17:20:00,1,1,0,RedAmber,C
9136,24-Jun-17,17:20:00,1,1,0,RedAmber,C
9427,24-Jun-17,17:20:58,1,1,0,RedAmber,C
9428,24-Jun-17,17:20:59,1,1,0,RedAmber,C
9429,24-Jun-17,17:20:59,1,1,0,RedAmber,C
9430,24-Jun-17,17:20:59,1,1,0,RedAmber,C
9431,24-Jun-17,17:20:59,1,1,0,RedAmber,C
9432,24-Jun-17,17:20:59,1,1,0,RedAmber,C
9433,24-Jun-17,17:21:00,1,1,0,RedAmber,C
9434,24-Jun-17,17:21:00,1,1,0,RedAmber,C
9435,24-Jun-17,17:21:00,1,1,0,RedAmber,C
9436,24-Jun-17,17:21:00,1,1,0,RedAmber,C
9727,24-Jun-17,17:21:58,1,1,0,RedAmber,C
9728,24-Jun-17,17:21:59,1,1,0,RedAmber,C
9729,24-Jun-17,17:21:59,1,1,0,RedAmber,C
9730,24-Jun-17,17:21:59,1,1,0,RedAmber,C
9731,24-Jun-17,17:21:59,1,1,0,RedAmber,C
9732,24-Jun-17,17:21:59,1,1,0,RedAmber,C
9733,24-Jun-17,17:21:59,1,1,0,RedAmber,C
